,epoch,train_accuracy_simple,train_accuracy_distil,train_loss_simple,train_loss_distil,valid_accuracy_simple,valid_accuracy_distil
0,0,0.01326,0.01498,0.0023514879512786867,5.408746142578125,0.0114,0.01896
1,1,0.0231,0.02626,0.0022725468254089355,5.377954638671875,0.03144,0.02776
2,2,0.03768,0.04014,0.002211795692443848,5.352529404296875,0.04386,0.04686
3,3,0.05164,0.0568,0.0021657339382171632,5.328238642578125,0.06016,0.06198
4,4,0.06374,0.06758,0.0021286633014678956,5.306368896484375,0.06862,0.07182
5,5,0.07256,0.0772,0.0020962248229980467,5.28575474609375,0.0753,0.08034
6,6,0.08026,0.08672,0.002065726938247681,5.26592466796875,0.0824,0.09002
7,7,0.08852,0.09542,0.0020353954219818116,5.24652626953125,0.09138,0.09814
8,8,0.09614,0.1048,0.0020044843769073486,5.22819283203125,0.10026,0.10686
9,9,0.10646,0.11294,0.0019737509870529175,5.21167458984375,0.10958,0.11534
10,10,0.11558,0.11864,0.0019445235061645507,5.19696640625,0.11892,0.12024
11,11,0.12356,0.12424,0.0019175942993164062,5.18373712890625,0.12672,0.12548
12,12,0.13102,0.12976,0.0018929581451416016,5.1715819140625,0.13292,0.1304
13,13,0.1383,0.13386,0.0018704088020324707,5.1602073046875,0.1396,0.13576
14,14,0.14386,0.1377,0.0018497579288482666,5.149396572265625,0.14568,0.14026
15,15,0.14878,0.1427,0.0018306848382949829,5.139043642578125,0.15122,0.14504
16,16,0.15474,0.14714,0.0018129548645019532,5.12901736328125,0.15552,0.14988
17,17,0.1595,0.1529,0.0017962543249130248,5.11928791015625,0.16074,0.1551
18,18,0.16312,0.15782,0.0017804083156585694,5.109783876953125,0.16576,0.15986
19,19,0.16788,0.16312,0.0017653070449829102,5.100494443359375,0.1702,0.16516
20,20,0.1727,0.16814,0.0017507923555374145,5.09137900390625,0.17478,0.17022
21,21,0.17702,0.17374,0.0017367610740661621,5.08235380859375,0.17866,0.17602
22,22,0.1821,0.17868,0.0017230755805969237,5.07344419921875,0.18306,0.18192
23,23,0.18674,0.18424,0.0017097657251358032,5.06464712890625,0.18776,0.1873
24,24,0.1907,0.18946,0.0016968441772460938,5.055990302734375,0.1915,0.19248
25,25,0.19538,0.19438,0.0016842000484466552,5.047480888671875,0.197,0.19634
26,26,0.20026,0.19956,0.001671776418685913,5.039153935546875,0.20186,0.20096
27,27,0.20484,0.20386,0.0016596147680282593,5.03103796875,0.20636,0.20602
28,28,0.2092,0.20826,0.0016477188062667847,5.02312068359375,0.21044,0.21034
29,29,0.21274,0.2127,0.0016360854816436768,5.01537623046875,0.21488,0.21514
30,30,0.21778,0.21666,0.0016247209119796752,5.00782921875,0.2197,0.21912
31,31,0.22186,0.22068,0.0016136215925216676,5.00048408203125,0.22322,0.22408
32,32,0.22522,0.22548,0.0016028228998184204,4.99334322265625,0.22712,0.22856
33,33,0.22978,0.23042,0.0015923289251327515,4.986411123046875,0.23158,0.23306
34,34,0.23348,0.23478,0.0015820471096038818,4.97966880859375,0.2357,0.2371
35,35,0.2373,0.23838,0.0015719872665405274,4.97312154296875,0.23936,0.24056
36,36,0.24102,0.24198,0.001562169713973999,4.96676654296875,0.24284,0.24416
37,37,0.24472,0.24564,0.001552484426498413,4.960592783203125,0.24674,0.2472
38,38,0.24844,0.24902,0.0015430258989334107,4.95461052734375,0.25026,0.25116
39,39,0.2516,0.2518,0.0015337607765197755,4.94879421875,0.25306,0.25434
40,40,0.25492,0.25552,0.0015246477031707764,4.943134755859375,0.2558,0.25784
41,41,0.25784,0.25842,0.001515746340751648,4.9376286328125,0.25916,0.26062
42,42,0.26084,0.2614,0.0015069695377349854,4.93226537109375,0.2623,0.26342
43,43,0.26416,0.26534,0.00149836594581604,4.927019599609375,0.26536,0.26724
44,44,0.26742,0.26808,0.0014899001932144164,4.921923125,0.26816,0.2703
45,45,0.27096,0.2718,0.0014815666675567626,4.916961513671875,0.27112,0.2731
46,46,0.2736,0.2752,0.0014733791637420654,4.9121148046875,0.27416,0.27526
47,47,0.27674,0.27808,0.001465307822227478,4.907361796875,0.27674,0.27892
48,48,0.27934,0.2814,0.0014573944759368896,4.902728193359375,0.27964,0.28134
49,49,0.28196,0.28406,0.001449602723121643,4.89817052734375,0.28226,0.28414
50,50,0.28482,0.28694,0.001441896710395813,4.89371767578125,0.28506,0.28738
51,51,0.2874,0.28924,0.001434385986328125,4.88936638671875,0.28748,0.2899
52,52,0.29082,0.29168,0.0014269511556625366,4.885086337890625,0.28986,0.29234
53,53,0.29358,0.29438,0.0014196396541595459,4.880892490234375,0.29282,0.29458
54,54,0.296,0.29686,0.0014124538278579711,4.87677056640625,0.29522,0.29682
55,55,0.2983,0.29966,0.001405367031097412,4.87272408203125,0.29782,0.29952
56,56,0.30082,0.30236,0.0013984227132797242,4.8687507421875,0.30048,0.30254
57,57,0.30286,0.30522,0.00139159019947052,4.864842666015625,0.30266,0.30522
58,58,0.3055,0.30768,0.0013848210763931273,4.861005966796875,0.30538,0.30832
59,59,0.30808,0.3105,0.0013781710147857667,4.85722765625,0.3075,0.31038
60,60,0.31216,0.31204,0.0013705200719833373,4.853034287109375,0.31186,0.3128
61,61,0.3126,0.31348,0.0013682985305786134,4.85161255859375,0.3131,0.31328
62,62,0.3134,0.31422,0.00136626793384552,4.850422451171875,0.3139,0.31422
63,63,0.31426,0.3151,0.0013642137670516969,4.849248115234375,0.31448,0.31512
64,64,0.31486,0.316,0.0013622378730773926,4.848103857421875,0.31502,0.31554
65,65,0.3157,0.31662,0.0013602723836898805,4.8469859765625,0.31574,0.31622
66,66,0.31638,0.31742,0.0013583273839950561,4.845873798828125,0.31624,0.31672
67,67,0.31722,0.31788,0.0013563928937911987,4.844778076171875,0.317,0.31754
68,68,0.31808,0.31854,0.001354464111328125,4.843687666015625,0.31718,0.31828
69,69,0.31876,0.3192,0.0013525562000274657,4.8426058203125,0.31766,0.31916
70,70,0.3197,0.3199,0.0013506667518615723,4.84152884765625,0.31836,0.3197
71,71,0.32038,0.32044,0.0013487866830825806,4.840465029296875,0.31916,0.32064
72,72,0.32102,0.3213,0.0013469259071350098,4.8394076953125,0.31978,0.3213
73,73,0.32162,0.32188,0.0013450782632827758,4.838350810546875,0.32062,0.32216
74,74,0.32234,0.32272,0.0013432508563995362,4.837301181640625,0.32132,0.32278
75,75,0.3227,0.32332,0.0013414239835739135,4.83626291015625,0.32194,0.32318
76,76,0.32334,0.3242,0.0013396118974685668,4.8352376171875,0.32248,0.32408
77,77,0.32432,0.3249,0.0013378048849105836,4.834212939453125,0.3226,0.32464
78,78,0.32484,0.32568,0.0013360134506225586,4.83319419921875,0.32332,0.32572
79,79,0.32548,0.32636,0.0013342158031463623,4.83217775390625,0.32436,0.32642
80,80,0.32616,0.32686,0.0013324486112594605,4.831169775390625,0.32496,0.32704
81,81,0.32664,0.32728,0.0013306901741027832,4.83016302734375,0.32558,0.32758
82,82,0.32702,0.3278,0.0013289312887191772,4.82916849609375,0.32648,0.32824
83,83,0.3276,0.32834,0.001327183485031128,4.828172138671875,0.32722,0.32888
84,84,0.32836,0.32882,0.001325446286201477,4.82718845703125,0.3278,0.32912
85,85,0.3294,0.32938,0.0013237052059173584,4.82621548828125,0.32866,0.3299
86,86,0.32998,0.32994,0.0013219752979278564,4.8252379296875,0.32918,0.3305
87,87,0.33066,0.33046,0.0013202640628814698,4.82426529296875,0.3299,0.33094
88,88,0.33168,0.33108,0.001318544454574585,4.82330671875,0.33058,0.33138
89,89,0.33234,0.33186,0.0013168485355377197,4.822348745117187,0.33106,0.3319
90,90,0.33292,0.33268,0.0013151437091827392,4.821391079101563,0.33138,0.33246
91,91,0.33328,0.33314,0.0013134577226638793,4.82044271484375,0.33182,0.33272
92,92,0.3339,0.33354,0.0013117886304855346,4.819489892578125,0.33234,0.33324
93,93,0.33478,0.33438,0.0013101173973083496,4.818542075195312,0.33304,0.33408
